alk_Q1,alk_Q2,alk_Q3,alk_Q4,pH_Q1,pH_Q2,pH_Q3,pH_Q4,DBPsf_Q1,DBPsf_Q2,DBPsf_Q3,DBPsf_Q4,wc_freq_TTHM,wc_freq_HAA5,expect_solids,expect_lime,expect_co2
28.30,43.20,17.06,7.08,7.24,9.35,8.57,6.81,0.10,0.02,0.04,0.04,0.23,0.00,24.1,20.0,7.0
13.99,49.74,30.78,6.53,6.03,8.18,6.11,6.05,0.60,0.02,0.02,0.36,0.18,0.00,22.8,65.4,63.9
10.98,1.17,22.39,15.64,7.04,7.16,6.90,6.72,0.56,0.58,0.03,0.16,0.27,0.07,19.5,16.6,7.6
33.55,23.20,34.24,16.25,6.05,6.26,6.00,6.01,0.74,0.09,0.05,0.02,0.25,0.09,16.9,69.5,75.1
13.87,19.01,10.71,4.52,7.64,7.37,7.37,7.32,0.75,0.06,0.06,0.02,0.30,0.05,20.2,11.7,0.9
33.93,82.27,27.49,32.15,6.01,6.00,6.01,6.02,0.28,0.02,0.08,0.05,0.11,0.00,23.2,121.5,131.9
7.26,22.60,13.57,18.95,6.43,6.78,6.30,6.34,0.24,0.57,0.02,0.40,0.30,0.05,18.2,31.1,26.8
20.10,21.86,32.35,15.98,6.35,7.08,6.07,6.13,0.55,0.30,0.02,0.13,0.25,0.05,18.0,46.5,45.8
7.02,30.08,2.82,9.57,6.69,9.17,6.23,6.61,0.48,0.06,0.02,0.25,0.30,0.00,20.1,25.1,17.3
10.55,29.42,3.34,13.35,6.71,9.28,6.12,6.75,0.75,0.02,0.11,0.48,0.30,0.00,20.1,25.1,17.4
9.69,8.40,28.78,2.27,6.20,6.74,6.04,6.12,0.65,0.53,0.46,0.25,0.27,0.07,17.7,50.4,50.9
5.72,43.13,29.62,15.17,6.01,8.48,6.08,6.09,0.21,0.05,0.03,0.53,0.23,0.00,21.6,62.4,61.5
8.26,29.37,3.28,12.58,6.80,9.24,6.84,6.57,0.71,0.03,0.07,0.21,0.30,0.00,20.6,20.1,10.9
26.67,14.66,25.47,27.82,6.92,6.78,6.37,6.66,0.44,0.02,0.08,0.37,0.25,0.07,19.0,22.6,15.5
30.40,24.31,3.94,12.10,7.32,7.88,6.40,6.72,0.32,0.69,0.05,0.15,0.30,0.02,19.7,18.0,9.1
27.93,21.58,27.71,26.39,6.58,6.47,6.23,6.22,0.39,0.02,0.02,0.65,0.25,0.09,18.0,37.2,34.4
7.15,78.80,24.22,15.25,6.70,8.56,7.98,6.69,0.39,0.02,0.03,0.26,0.00,0.00,28.8,35.4,20.9
12.33,43.50,17.19,4.89,7.36,9.23,9.03,7.06,0.26,0.04,0.02,0.11,0.20,0.00,24.4,18.9,5.4
19.61,49.19,7.46,7.72,6.81,8.04,8.65,6.33,0.05,0.02,0.06,0.75,0.18,0.00,24.4,29.9,18.8
26.23,72.53,28.18,10.82,6.21,8.77,6.27,6.03,0.24,0.02,0.05,0.42,0.02,0.00,26.4,62.1,56.1
5.00,22.60,10.82,18.89,7.29,6.78,6.29,6.34,0.24,0.57,0.02,0.39,0.30,0.05,18.6,24.9,18.6
19.71,57.64,22.64,11.61,6.53,8.77,6.23,6.28,0.29,0.02,0.02,0.06,0.14,0.00,24.7,41.6,32.7
21.04,42.95,12.41,10.20,7.21,8.71,8.59,6.65,0.27,0.06,0.07,0.72,0.23,0.00,23.8,21.6,9.2
30.81,23.84,24.92,2.78,6.30,7.96,6.29,6.24,0.19,0.06,0.02,0.67,0.27,0.02,18.7,36.3,32.6
7.44,18.75,20.38,24.52,7.40,7.41,8.53,7.28,0.70,0.64,0.02,0.02,0.25,0.05,20.4,12.1,1.2
17.86,22.35,30.86,10.57,6.17,7.12,6.02,6.14,0.29,0.16,0.05,0.17,0.25,0.05,17.8,51.2,51.7
26.35,24.11,19.05,24.39,7.75,8.47,7.69,7.86,0.72,0.04,0.02,0.25,0.30,0.02,21.1,11.7,0.0
6.93,58.79,1.78,25.13,7.14,8.58,6.32,6.53,0.15,0.02,0.05,0.37,0.11,0.00,25.5,32.1,20.2
29.44,42.65,15.58,5.67,7.98,9.47,8.65,8.12,0.71,0.04,0.02,0.15,0.23,0.00,24.6,17.0,2.8
13.87,18.97,12.23,4.52,7.63,7.39,7.37,7.19,0.57,0.06,0.03,0.08,0.30,0.05,20.2,12.0,1.3
5.56,61.80,2.94,24.35,6.86,7.42,6.34,6.55,0.27,0.02,0.40,0.02,0.09,0.00,25.8,35.0,23.6
19.50,43.61,29.10,12.18,6.18,8.71,6.16,6.09,0.45,0.02,0.02,0.04,0.20,0.00,21.9,54.0,50.8
10.45,28.59,2.54,10.56,7.98,9.50,8.51,7.85,0.50,0.02,0.03,0.03,0.25,0.00,22.0,12.6,0.1
5.66,58.99,23.02,3.20,6.22,8.48,6.00,6.17,0.11,0.03,0.03,0.16,0.11,0.00,24.4,55.8,50.5
5.75,24.18,9.89,27.94,6.30,6.13,6.12,6.22,0.47,0.50,0.35,0.10,0.30,0.11,17.0,46.1,46.4
28.44,26.35,17.18,15.37,6.27,7.45,6.01,6.01,0.11,0.55,0.02,0.34,0.30,0.02,18.1,47.8,47.4
30.93,24.34,29.93,15.65,6.14,8.05,6.04,6.00,0.22,0.02,0.02,0.60,0.27,0.02,18.2,56.1,57.4
4.19,43.40,15.25,7.06,6.91,9.49,8.79,7.41,0.73,0.06,0.02,0.04,0.20,0.00,24.4,19.4,6.0
27.22,81.27,6.68,1.17,6.01,6.00,6.00,6.01,0.75,0.03,0.11,0.06,0.14,0.00,23.1,114.9,124.1
6.01,57.62,11.77,8.21,7.78,9.39,7.97,7.34,0.52,0.02,0.02,0.75,0.11,0.00,26.9,22.1,6.7
8.82,19.96,23.79,0.55,7.07,7.40,6.78,6.97,0.73,0.24,0.03,0.20,0.25,0.05,19.8,15.5,6.0
18.00,82.27,15.39,32.15,6.01,6.00,6.00,6.21,0.27,0.02,0.04,0.05,0.14,0.00,23.3,110.4,118.2
27.93,23.87,26.05,4.12,6.56,7.82,6.47,6.26,0.36,0.70,0.03,0.71,0.25,0.02,19.1,29.5,24.0
12.76,60.21,24.34,27.57,6.54,8.70,6.31,6.58,0.25,0.02,0.07,0.04,0.09,0.00,25.6,37.7,27.0
12.81,30.34,0.44,13.35,6.24,8.72,6.00,6.02,0.08,0.56,0.02,0.47,0.30,0.00,19.0,49.1,47.9
29.96,23.79,0.40,14.36,7.19,8.03,6.29,6.37,0.21,0.53,0.02,0.64,0.30,0.02,19.2,23.5,16.3
31.32,49.70,10.27,14.49,7.58,8.04,8.80,7.41,0.42,0.04,0.02,0.22,0.16,0.00,25.6,20.5,6.1
32.55,60.60,23.87,11.04,6.53,7.83,6.42,6.45,0.34,0.02,0.13,0.69,0.09,0.00,25.5,38.7,28.3
9.46,61.37,25.89,11.19,6.59,6.80,6.02,6.22,0.46,0.03,0.06,0.39,0.11,0.00,24.4,53.8,47.8
32.77,19.57,5.45,11.44,7.60,7.37,6.39,6.74,0.70,0.09,0.02,0.18,0.30,0.05,19.4,17.2,8.6
24.34,17.84,19.85,15.52,6.36,6.82,6.00,6.01,0.05,0.02,0.75,0.09,0.30,0.07,17.4,46.4,46.3
12.80,30.26,0.39,12.06,6.23,8.74,6.00,6.06,0.21,0.56,0.02,0.03,0.30,0.00,19.0,47.8,46.4
21.91,13.84,23.02,15.69,7.64,7.39,7.38,7.65,0.75,0.42,0.04,0.18,0.25,0.05,20.4,11.7,0.7
14.64,23.73,1.63,10.92,7.67,8.26,7.62,7.55,0.75,0.03,0.06,0.10,0.30,0.02,20.9,11.8,0.3
30.58,13.95,3.77,14.32,7.62,7.39,6.45,6.55,0.72,0.02,0.03,0.14,0.30,0.05,19.2,18.3,10.0
8.64,30.33,28.51,10.79,6.47,7.88,6.07,6.17,0.58,0.08,0.02,0.16,0.27,0.00,19.5,42.4,39.2
